"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"1",1,2003-10-11,2003-10-12,"Unknown",1,NA,0.0027378507871321,1,0,2003-10-12,2003-10-12
"2",2,2009-08-03,2009-08-04,"Unknown",1,NA,0.0027378507871321,1,0,2009-08-03,2009-08-03
"3",3,2008-12-20,2008-12-22,"Unknown",0,NA,0.0054757015742642,1,0,NA,NA
"4",4,2017-04-21,2017-04-23,"Unknown",0,NA,0.0054757015742642,1,0,NA,NA
"5",5,2015-12-11,2015-12-14,"Unknown",0,NA,0.0082135523613963,1,0,NA,NA
"6",6,1990-03-02,1990-03-07,"Unknown",0,NA,0.0136892539356605,1,0,NA,NA
"7",7,2014-12-12,2014-12-20,"Unknown",0,NA,0.0219028062970568,1,0,NA,NA
"8",8,2004-11-15,2004-11-29,"Unknown",1,NA,0.0383299110198494,1,0,2004-11-21,2004-11-21
"9",9,2015-12-10,2015-12-26,"Unknown",0,NA,0.0438056125941136,1,0,NA,NA
"10",10,1990-02-01,1990-02-18,"Unknown",0,NA,0.0465434633812457,1,0,NA,NA
"11",11,2017-11-02,2017-11-19,"Unknown",3,0.0136892539356605,0.0465434633812457,1,0,2017-11-07,2017-11-15
"12",12,1996-12-01,1996-12-20,"Unknown",1,NA,0.0520191649555099,1,0,1996-12-17,1996-12-17
"13",13,1989-01-10,1989-01-30,"Unknown",0,NA,0.054757015742642,1,0,NA,NA
"14",14,2019-11-01,2019-11-24,"Unknown",0,NA,0.0629705681040383,1,0,NA,NA
"15",15,2014-12-09,2015-01-06,"Unknown",1,NA,0.0766598220396988,1,0,2014-12-10,2014-12-10
"16",16,2019-12-01,NA,"Unknown",0,NA,0.0848733744010951,0,0,NA,NA
"17",17,1991-05-18,1991-06-28,"Male",8,0.0246406570841889,0.112251882272416,1,0,1991-05-19,1991-06-23
"18",18,2019-11-20,2021-04-26,"Male",2,0.0054757015742642,0.114989733059548,0,0,2019-12-02,2019-12-04
"19",19,1988-12-11,1989-01-22,"Male",1,NA,0.114989733059548,1,0,1988-12-11,1988-12-11
"20",20,2000-11-23,2001-01-11,"Unknown",2,0.0219028062970568,0.134154688569473,1,0,2000-11-23,2000-12-01
"21",21,1990-11-01,1990-12-23,"Unknown",7,0.0465434633812457,0.142368240930869,1,0,1990-11-11,1990-12-14
"22",22,2019-11-01,NA,"Unknown",0,NA,0.167008898015058,0,0,NA,NA
"23",23,2019-11-01,NA,"Unknown",0,NA,0.167008898015058,0,0,NA,NA
"24",24,2019-11-01,NA,"Unknown",0,NA,0.167008898015058,0,0,NA,NA
"25",25,1997-11-01,1998-01-02,"Unknown",1,NA,0.16974674880219,1,0,1997-12-10,1997-12-10
"26",26,1999-11-03,2000-01-04,"Unknown",0,NA,0.16974674880219,1,0,NA,NA
"27",27,2019-02-06,2019-04-09,"Unknown",0,NA,0.16974674880219,1,0,NA,NA
"28",28,2015-11-08,2016-01-10,"Unknown",4,0.0109514031485284,0.172484599589322,1,0,2015-11-24,2015-12-04
"29",29,2017-01-08,2017-03-16,"Unknown",0,NA,0.183436002737851,1,0,NA,NA
